seq_51	ColE1	99.660	589	0.0	1054	8476	9064	10943	589	1	589
seq_51	ColE1	99.660	589	0.0	1054	5552	6140	10943	589	1	589
seq_51	ColE1	100.000	440	0.0	794	4362	4801	10943	150	589	589
seq_51	Col(pHAD28)_1__KU674895	89.313	131	1.34e-43	174	5766	5896	10943	1	131	131
seq_51	Col(pHAD28)_1__KU674895	89.313	131	1.34e-43	174	4457	4587	10943	131	1	131
seq_51	Col(pHAD28)_1__KU674895	89.313	131	1.34e-43	174	8690	8820	10943	1	131	131
seq_51	ColRNAI_1__DQ298019	87.023	131	3.60e-38	157	5766	5896	10943	1	130	130
seq_51	ColRNAI_1__DQ298019	87.023	131	3.60e-38	157	4457	4587	10943	130	1	130
seq_51	ColRNAI_1__DQ298019	87.023	131	3.60e-38	157	8690	8820	10943	1	130	130
seq_51	Col440I_1__CP023920	89.091	110	6.51e-35	145	5806	5915	10943	2	111	114
seq_51	Col440I_1__CP023920	89.091	110	6.51e-35	145	4438	4547	10943	111	2	114
seq_51	Col440I_1__CP023920	89.091	110	6.51e-35	145	8730	8839	10943	2	111	114
