Plasmid_ID,Ori's present,Identity of each ori,Cov of each ori,ARG's present,Identity of ARGs,Cov of ARGs
seq_1,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_11,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_12,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_14,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_16,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_17,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_19,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_2,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_22,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_23,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_24,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_25,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_26,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_28,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_30,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_34,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_35,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_38,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_4,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_40,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_42,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_44,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_45,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_46,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_48,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_50,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_52,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_54,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_55,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_56,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_57,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_6,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_60,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_62,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_63,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_64,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_66,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_68,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_69,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_7,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_70,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_72,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_73,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_74,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_75,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_76,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_77,ColE1,99.83,100.00,blaTEM-1,100.00,100.00
seq_78,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_8,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_80,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_81,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_82,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_83,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_85,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_86,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_88,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_90,ColE1,99.49,100.00,blaTEM-1,100.00,100.00
seq_94,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_96,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_97,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
seq_98,ColE1,99.83,100.00,aph(3')-Ia,100.00,100.00
