sequence,qseqid,ori_type,pct_identity,pct_cov_subject,q_start,q_end,strand,qlen,sstart,send,slen,length,bitscore,evalue
seq_0,seq_0,ColE1,99.83,100.0,2071,2659,+,6564,1,589,589,589,1058,0.0
seq_1,seq_1,ColE1,99.83,100.0,2582,3170,+,7399,1,589,589,589,1058,0.0
seq_10,seq_10,ColE1,99.83,100.0,1820,2408,+,6509,1,589,589,589,1058,0.0
seq_11,seq_11,ColE1,99.83,100.0,2879,3467,+,7603,1,589,589,589,1058,0.0
seq_12,seq_12,ColE1,99.83,100.0,1757,2345,+,6599,1,589,589,589,1058,0.0
seq_13,seq_13,ColE1,99.491,100.0,5146,5734,-,9910,589,1,589,589,1049,0.0
seq_14,seq_14,ColE1,99.83,100.0,2109,2697,+,6696,1,589,589,589,1058,0.0
seq_15,seq_15,ColE1,99.83,100.0,2596,3184,+,7386,1,589,589,589,1058,0.0
seq_16,seq_16,ColE1,99.83,100.0,2055,2643,+,6566,1,589,589,589,1058,0.0
seq_17,seq_17,ColE1,99.83,100.0,2590,3178,+,7402,1,589,589,589,1058,0.0
seq_18,seq_18,ColE1,99.83,100.0,2101,2689,+,6569,1,589,589,589,1058,0.0
seq_19,seq_19,ColE1,99.83,100.0,2385,2973,+,7734,1,589,589,589,1058,0.0
seq_2,seq_2,ColE1,99.83,100.0,2572,3160,+,7168,1,589,589,589,1058,0.0
seq_20,seq_20,ColE1,99.83,100.0,2114,2702,+,6620,1,589,589,589,1058,0.0
seq_21,seq_21,Col(pHAD28)_1__KU674895,89.313,100.0,2840,2970,-,6003,131,1,131,131,174,7.36e-44
seq_22,seq_22,ColE1,99.491,100.0,1311,1899,-,6628,589,1,589,589,1049,0.0
seq_23,seq_23,ColE1,99.66,100.0,1390,1978,-,8240,589,1,589,589,1054,0.0
seq_24,seq_24,ColE1,99.83,100.0,1866,2454,+,6545,1,589,589,589,1058,0.0
seq_25,seq_25,ColE1,99.491,100.0,1124,1712,-,4889,589,1,589,589,1049,0.0
seq_26,seq_26,ColE1,99.83,100.0,1890,2478,+,6534,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.83,100.0,5608,6196,+,9997,1,589,589,589,1058,0.0
seq_27,seq_27,ColE1,99.491,100.0,1124,1712,-,9997,589,1,589,589,1049,0.0
seq_28,seq_28,ColE1,99.83,100.0,1869,2457,+,6594,1,589,589,589,1058,0.0
seq_29,seq_29,ColE1,99.491,100.0,1855,2443,-,7442,589,1,589,589,1049,0.0
seq_3,seq_3,ColE1,99.83,100.0,2970,3558,+,7902,1,589,589,589,1058,0.0
seq_31,seq_31,ColE1,99.66,100.0,4641,5229,+,10872,1,589,589,589,1054,0.0
seq_32,seq_32,ColE1,99.491,100.0,972,1560,-,6609,589,1,589,589,1049,0.0
seq_33,seq_33,ColE1,99.83,100.0,3085,3673,+,7491,1,589,589,589,1058,0.0
seq_34,seq_34,ColE1,99.491,100.0,1235,1823,-,6691,589,1,589,589,1049,0.0
seq_35,seq_35,ColE1,99.83,100.0,1251,1839,-,4958,589,1,589,589,1058,0.0
seq_36,seq_36,ColE1,99.491,100.0,1273,1861,-,6634,589,1,589,589,1049,0.0
seq_37,seq_37,ColE1,99.83,100.0,2580,3168,+,7459,1,589,589,589,1058,0.0
seq_38,seq_38,ColE1,99.83,100.0,2011,2599,+,6592,1,589,589,589,1058,0.0
seq_4,seq_4,ColE1,99.83,100.0,1776,2364,+,6559,1,589,589,589,1058,0.0
seq_40,seq_40,ColE1,99.83,100.0,1954,2542,+,6568,1,589,589,589,1058,0.0
seq_41,seq_41,ColE1,99.83,100.0,3409,3997,+,7502,1,589,589,589,1058,0.0
seq_42,seq_42,ColE1,99.83,100.0,2073,2661,+,6590,1,589,589,589,1058,0.0
seq_43,seq_43,ColE1,99.491,100.0,1844,2432,-,7437,589,1,589,589,1049,0.0
seq_44,seq_44,ColE1,99.83,100.0,1834,2422,+,6525,1,589,589,589,1058,0.0
seq_45,seq_45,ColE1,99.83,100.0,2585,3173,+,7483,1,589,589,589,1058,0.0
seq_46,seq_46,ColE1,99.83,100.0,1881,2469,+,6557,1,589,589,589,1058,0.0
seq_47,seq_47,ColE1,99.83,100.0,2598,3186,+,7418,1,589,589,589,1058,0.0
seq_48,seq_48,ColE1,99.83,100.0,2098,2686,+,6575,1,589,589,589,1058,0.0
seq_49,seq_49,ColE1,99.83,100.0,3045,3633,+,7774,1,589,589,589,1058,0.0
seq_5,seq_5,ColE1,99.83,100.0,2486,3074,+,7374,1,589,589,589,1058,0.0
seq_50,seq_50,ColE1,99.83,100.0,2125,2713,+,6612,1,589,589,589,1058,0.0
seq_51,seq_51,ColE1,99.83,100.0,2473,3061,+,7259,1,589,589,589,1058,0.0
seq_52,seq_52,ColE1,99.491,100.0,1144,1732,-,6600,589,1,589,589,1049,0.0
seq_53,seq_53,ColE1,99.83,100.0,2421,3009,+,7804,1,589,589,589,1058,0.0
seq_54,seq_54,ColE1,99.83,100.0,1791,2379,+,6523,1,589,589,589,1058,0.0
seq_55,seq_55,ColE1,99.83,100.0,2374,2962,+,7722,1,589,589,589,1058,0.0
seq_56,seq_56,ColE1,99.83,100.0,2142,2730,+,6540,1,589,589,589,1058,0.0
seq_57,seq_57,ColE1,99.83,100.0,2888,3476,+,7502,1,589,589,589,1058,0.0
seq_58,seq_58,ColE1,99.491,100.0,1449,2037,-,6620,589,1,589,589,1049,0.0
seq_59,seq_59,ColE1,99.83,100.0,4432,5020,+,8936,1,589,589,589,1058,0.0
seq_6,seq_6,ColE1,99.83,100.0,2329,2917,+,6570,1,589,589,589,1058,0.0
seq_60,seq_60,ColE1,99.83,100.0,2000,2588,+,6563,1,589,589,589,1058,0.0
seq_61,seq_61,ColE1,99.491,100.0,1191,1779,-,4555,589,1,589,589,1049,0.0
seq_62,seq_62,ColE1,99.491,100.0,1086,1674,-,6611,589,1,589,589,1049,0.0
seq_63,seq_63,ColE1,99.83,100.0,2593,3181,+,7425,1,589,589,589,1058,0.0
seq_64,seq_64,ColE1,99.83,100.0,1978,2566,+,6547,1,589,589,589,1058,0.0
seq_66,seq_66,ColE1,99.83,100.0,1816,2404,+,6559,1,589,589,589,1058,0.0
seq_67,seq_67,ColE1,99.83,100.0,6113,6701,+,9992,1,589,589,589,1058,0.0
seq_67,seq_67,Col(pHAD28)_1__KU674895,89.313,100.0,1338,1468,+,9992,1,131,131,131,174,1.2200000000000001e-43
seq_68,seq_68,ColE1,99.491,100.0,1187,1775,-,6588,589,1,589,589,1049,0.0
